,collectCount,commentCount,createTimeISO,likes,mentions0,mentions1,playCount,shareCount,text,videoMeta/duration,videoMeta/format
174,511,88,2024-06-13T20:37:11.000Z,6064,,,120700,135,get ready hb ft pocket blush,195,mp4
175,2108,102,2024-06-13T19:19:30.000Z,25400,@DANIELLE,,470500,1190,pocket blush shade piggy available june 20th 9am pt,39,mp4
176,117,47,2024-06-13T17:22:13.000Z,7000,@paloma,,138800,47,ready teddy elsesser applies pocket blush shade toasted teddy glowy flush bronze terracotta hydrates skin baby soft cheeks get june 20th 9am pt,6,mp4
177,252,65,2024-06-13T16:08:30.000Z,6579,,,106600,128,love pocket blush,5,mp4
178,529,73,2024-06-12T22:50:16.000Z,17800,@Alex,,210600,202,sip hot pink consani wears pocket blush shade juice box,6,mp4
179,139,31,2024-06-12T22:10:42.000Z,3664,@The,,96400,54,pocket blush try join waitlist rhodeskincom,50,mp4
180,335,76,2024-06-12T19:26:21.000Z,20100,,,290100,91,little bts pocket blush shoot,7,mp4
181,686,56,2024-06-12T18:11:53.000Z,9576,@stephhui,,164400,511,pocket blush arriving june 20th 9am pt,53,mp4
182,2062,235,2024-06-12T17:22:09.000Z,106600,,,1600000,680,testing tapping trying years making pocket blush almost wait get little flushed,27,mp4
183,244,58,2024-06-11T22:25:21.000Z,3072,,,116300,118,six everyday shades pocket blush arrives june 20th 9am pt,33,mp4
184,1840,144,2024-06-11T18:50:24.000Z,48800,@Alex,,272100,577,serving blush consani,31,mp4
185,1535,187,2024-06-11T17:01:44.000Z,20300,@Danielle,,280700,1155,estrada swatches six shades pocket blush ariving june 20th 9am pt,91,mp4
186,534,98,2024-06-11T16:30:13.000Z,11900,,,169800,325,creamy blush satiny buildable color pocket blush coming june 20th 9am pt,12,mp4
187,483,115,2024-06-11T16:05:40.000Z,13900,,,189100,315,small enough fit pocket powerful enough wake cheeks,7,mp4
188,3483,329,2024-06-10T16:52:09.000Z,39100,@Michaela,,602300,2997,six little swatches pocket blush launching june 20th 9am pt,57,mp4
189,2810,409,2024-06-10T16:39:56.000Z,76100,,,650200,2384,six everyday shades juice box hot pink toasted teddy bronze terracotta spicy marg bright coral piggy baby pink sleepy girl soft mauve freckle neutral peach,0,
190,5043,706,2024-06-10T16:19:05.000Z,131300,,,1300000,6826,meet pocket blush arriving june 20th 9am pt,17,mp4
191,9041,1197,2024-06-10T16:05:07.000Z,168100,,,2800000,8242,hb swatches six shades pocket blush launching june 20th 9am pt,178,mp4
192,703,335,2024-06-10T15:08:55.000Z,27200,,,244500,654,little blush little flush,15,mp4
193,385,114,2024-06-09T20:04:53.000Z,11700,,,201900,314,tap tap tap got something exciting tell tomorrow,18,mp4
194,1582,586,2024-06-09T17:38:39.000Z,69200,,,599800,2858,dreams come true tomorrow,10,mp4
195,532,256,2024-06-09T16:12:40.000Z,25100,,,234100,406,cheek peek something landed rhode hq,0,
198,2683,734,2024-06-08T16:02:24.000Z,117700,,,1000000,2343,’ listening,13,mp4
199,2547,103,2024-06-07T23:30:09.000Z,123000,,,1500000,838,summer espresso,7,mp4
200,2612,236,2024-06-07T18:42:11.000Z,65600,@Matilda,,705500,1508,djerf,8,mp4
201,180,41,2024-06-07T16:14:51.000Z,3707,,,116500,33,rhode press meet award winning products editors talking,0,
203,742,58,2024-06-06T22:46:16.000Z,14900,@mobina,,186700,230,get unready rhode kit,15,mp4
204,432,44,2024-06-06T16:04:30.000Z,4672,,,108600,137,shades summer,11,mp4
205,226,35,2024-06-05T22:35:36.000Z,4353,@Kristina’s,,128600,42,summer makeup look ft glazing milk glaze brc  lip tint shade toast,37,mp4
